trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back,correct_model,acc
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,abscount,1
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,blca_k0_wi0.06_leak0_beta0.1,0
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,likelihood_ratio,0
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,blca_k0_wi0.125_leak0.2_beta0,1
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,relcount,0
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,naive,1
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,blca_k0_wi0.06_leak0.2_beta0.1,0
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,blca_k0_wi0.25_leak0_beta0.1,1
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,blca_k0_wi0.06_leak0.2_beta0,0
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,lba_k0_d0.25,1
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,blca_k0_wi0.25_leak0.2_beta0,1
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,snr,0
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,lba_k0_d0.06,0
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,blca_k0_wi0.125_leak0_beta0.1,1
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,lba_k0_d0.125,1
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,blca_k0_wi0.125_leak0.2_beta0.1,1
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,snr_meandefault,1
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,lba_k0_d0.5,1
AAAAAAAA,information,A,0.5625,0.0,3,4,8,0,8,1.0,1.0,blca_k0_wi0.25_leak0.2_beta0.1,1
AAAAAAAA,blca_k0_wi0.25_leak0.2_beta0,A,0.75,0.0,3,4,8,0,8,1.0,1.0,information,1
AAAAAAAA,blca_k0_wi0.25_leak0.2_beta0,A,0.75,0.0,3,4,8,0,8,1.0,1.0,abscount,1
AAAAAAAA,blca_k0_wi0.25_leak0.2_beta0,A,0.75,0.0,3,4,8,0,8,1.0,1.0,blca_k0_wi0.06_leak0_beta0.1,0
