trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back
AAAAAAAA,information,A,0.75,0.0,4,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.25_leak0.2_beta0,A,0.75,0.0,3,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.06_leak0_beta0.1,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,likelihood_ratio,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.125_leak0_beta0.1,A,0.75,0,6,4,8,0,8,1.0,1.0
AAAAAAAA,naive,A,0.75,0,1,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.06_leak0.2_beta0.1,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.25_leak0_beta0.1,A,0.75,0,3,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.06_leak0.2_beta0,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,lba_k0_d0.25,A,0.75,0.0,3,4,8,0,8,1.0,1.0
AAAAAAAA,snr_meandefault,A,0.75,0.0,6,4,8,0,8,1.0,1.0
AAAAAAAA,snr,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.25_leak0.2_beta0.1,A,0.75,0,3,4,8,0,8,1.0,1.0
AAAAAAAA,lba_k0_d0.06,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,relcount,N,,,,4,8,0,8,1.0,1.0
AAAAAAAA,lba_k0_d0.125,A,0.75,0.0,6,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.125_leak0.2_beta0.1,A,0.75,0,6,4,8,0,8,1.0,1.0
AAAAAAAA,abscount,A,0.75,0.0,6,4,8,0,8,1.0,1.0
AAAAAAAA,lba_k0_d0.5,A,1.0,0.0,2,4,8,0,8,1.0,1.0
AAAAAAAA,blca_k0_wi0.125_leak0.2_beta0,A,0.75,0.0,6,4,8,0,8,1.0,1.0
ABABABAB,information,A,0.75,0.5625,7,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.25_leak0.2_beta0,A,0.75,0.5,5,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.06_leak0_beta0.1,N,,,,0,4,4,4,0.5,0.5
ABABABAB,likelihood_ratio,N,,,,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.125_leak0_beta0.1,N,,,,0,4,4,4,0.5,0.5
ABABABAB,naive,N,,,,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.06_leak0.2_beta0.1,N,,,,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.25_leak0_beta0.1,A,0.67164775,0.314107725,5,0,4,4,4,0.5,0.5
ABABABAB,blca_k0_wi0.06_leak0.2_beta0,N,,,,0,4,4,4,0.5,0.5
ABABABAB,lba_k0_d0.25,A,0.75,0.5,5,0,4,4,4,0.5,0.5
