trial,model,decision,score,altscore,rt,distance,countA,countB,maxspeed_front,maxspeed_back
ABABABBBAABABA,information,B,0.67988480751028646,0.40793088450617188,8,6,7,7,0.5714285714285714,0.5714285714285714
ABABABBBAABABA,relcount,A,0.6666666666666666,0.33333333333333337,3,6,7,7,0.5714285714285714,0.5714285714285714
ABABABBBAABABA,abscount,N,,,,6,7,7,0.5714285714285714,0.5714285714285714
ABABABBBAABABA,likelihood_ratio,N,,,,6,7,7,0.5714285714285714,0.5714285714285714
ABABABBBAABABA,naive_probability,B,0.75,0,6,6,7,7,0.5714285714285714,0.5714285714285714
ABABABBBAABABB,information,B,0.67988480751028646,0.40793088450617188,8,5,6,8,0.5714285714285714,0.5714285714285714
ABABABBBAABABB,relcount,A,0.6666666666666666,0.33333333333333337,3,5,6,8,0.5714285714285714,0.5714285714285714
ABABABBBAABABB,abscount,N,,,,5,6,8,0.5714285714285714,0.5714285714285714
ABABABBBAABABB,likelihood_ratio,N,,,,5,6,8,0.5714285714285714,0.5714285714285714
ABABABBBAABABB,naive_probability,B,0.75,0,6,5,6,8,0.5714285714285714,0.5714285714285714
ABABBBBAAAABAA,information,B,0.67988480751028646,0.27195392300411458,7,5,8,6,0.7142857142857143,0.8571428571428571
ABABBBBAAAABAA,relcount,A,0.6666666666666666,0.33333333333333337,3,5,8,6,0.7142857142857143,0.8571428571428571
ABABBBBAAAABAA,abscount,N,,,,5,8,6,0.7142857142857143,0.8571428571428571
ABABBBBAAAABAA,likelihood_ratio,N,,,,5,8,6,0.7142857142857143,0.8571428571428571
ABABBBBAAAABAA,naive_probability,B,0.75,0,4,5,8,6,0.7142857142857143,0.8571428571428571
ABABBBBAAAABAB,information,B,0.67988480751028646,0.27195392300411458,7,4,7,7,0.7142857142857143,0.7142857142857143
ABABBBBAAAABAB,relcount,A,0.6666666666666666,0.33333333333333337,3,4,7,7,0.7142857142857143,0.7142857142857143
ABABBBBAAAABAB,abscount,N,,,,4,7,7,0.7142857142857143,0.7142857142857143
ABABBBBAAAABAB,likelihood_ratio,N,,,,4,7,7,0.7142857142857143,0.7142857142857143
ABABBBBAAAABAB,naive_probability,B,0.75,0,4,4,7,7,0.7142857142857143,0.7142857142857143
ABABAABBABAAAA,information,A,0.67988480751028646,0.54390784600822917,9,4,9,5,0.5714285714285714,0.7142857142857143
ABABAABBABAAAA,relcount,A,0.6666666666666666,0.33333333333333337,3,4,9,5,0.5714285714285714,0.7142857142857143
ABABAABBABAAAA,abscount,N,,,,4,9,5,0.5714285714285714,0.7142857142857143
ABABAABBABAAAA,likelihood_ratio,A,1.4294292643817874,0,13,4,9,5,0.5714285714285714,0.7142857142857143
ABABAABBABAAAA,naive_probability,A,0.75,0,5,4,9,5,0.5714285714285714,0.7142857142857143
ABABAABBABAAAB,information,A,0.67988480751028646,0.54390784600822917,9,3,8,6,0.5714285714285714,0.5714285714285714
ABABAABBABAAAB,relcount,A,0.6666666666666666,0.33333333333333337,3,3,8,6,0.5714285714285714,0.5714285714285714
ABABAABBABAAAB,abscount,N,,,,3,8,6,0.5714285714285714,0.5714285714285714
ABABAABBABAAAB,likelihood_ratio,A,1.4294292643817874,0,13,3,8,6,0.5714285714285714,0.5714285714285714
ABABAABBABAAAB,naive_probability,A,0.75,0,5,3,8,6,0.5714285714285714,0.5714285714285714
AABBABBBAAABAA,information,B,0.67988480751028646,0.40793088450617188,8,5,8,6,0.5714285714285714,0.7142857142857143
AABBABBBAAABAA,relcount,A,0.6666666666666666,0.33333333333333337,3,5,8,6,0.5714285714285714,0.7142857142857143
AABBABBBAAABAA,abscount,N,,,,5,8,6,0.5714285714285714,0.7142857142857143
AABBABBBAAABAA,likelihood_ratio,N,,,,5,8,6,0.5714285714285714,0.7142857142857143
AABBABBBAAABAA,naive_probability,A,0.75,0,1,5,8,6,0.5714285714285714,0.7142857142857143
AABBABBBAAABAB,information,B,0.67988480751028646,0.40793088450617188,8,4,7,7,0.5714285714285714,0.5714285714285714
AABBABBBAAABAB,relcount,A,0.6666666666666666,0.33333333333333337,3,4,7,7,0.5714285714285714,0.5714285714285714
AABBABBBAAABAB,abscount,N,,,,4,7,7,0.5714285714285714,0.5714285714285714
AABBABBBAAABAB,likelihood_ratio,N,,,,4,7,7,0.5714285714285714,0.5714285714285714
AABBABBBAAABAB,naive_probability,A,0.75,0,1,4,7,7,0.5714285714285714,0.5714285714285714
ABABBBAABBBBBB,information,B,0.67988480751028646,0.54390784600822917,9,5,4,10,0.5714285714285714,0.8571428571428571
ABABBBAABBBBBB,relcount,A,0.6666666666666666,0.33333333333333337,3,5,4,10,0.5714285714285714,0.8571428571428571
ABABBBAABBBBBB,abscount,B,0.7142857142857143,0.2857142857142857,14,5,4,10,0.5714285714285714,0.8571428571428571
ABABBBAABBBBBB,likelihood_ratio,B,-1.4702818301893568,0,13,5,4,10,0.5714285714285714,0.8571428571428571
ABABBBAABBBBBB,naive_probability,B,0.75,0,4,5,4,10,0.5714285714285714,0.8571428571428571
AAAABBAABAABBA,information,A,0.67988480751028646,0.27195392300411458,7,6,9,5,0.7142857142857143,0.5714285714285714
AAAABBAABAABBA,relcount,A,0.8,0.19999999999999996,5,6,9,5,0.7142857142857143,0.5714285714285714
AAAABBAABAABBA,abscount,N,,,,6,9,5,0.7142857142857143,0.5714285714285714
AAAABBAABAABBA,likelihood_ratio,A,1.301029995663981,0,7,6,9,5,0.7142857142857143,0.5714285714285714
AAAABBAABAABBA,naive_probability,A,0.75,0,1,6,9,5,0.7142857142857143,0.5714285714285714
AAAABBAABAABBB,information,A,0.67988480751028646,0.27195392300411458,7,7,8,6,0.7142857142857143,0.5714285714285714
AAAABBAABAABBB,relcount,A,0.8,0.19999999999999996,5,7,8,6,0.7142857142857143,0.5714285714285714
AAAABBAABAABBB,abscount,N,,,,7,8,6,0.7142857142857143,0.5714285714285714
AAAABBAABAABBB,likelihood_ratio,A,1.301029995663981,0,7,7,8,6,0.7142857142857143,0.5714285714285714
AAAABBAABAABBB,naive_probability,A,0.75,0,1,7,8,6,0.7142857142857143,0.5714285714285714
ABABBBAABBBBBA,information,B,0.67988480751028646,0.54390784600822917,9,6,5,9,0.5714285714285714,0.7142857142857143
ABABBBAABBBBBA,relcount,A,0.6666666666666666,0.33333333333333337,3,6,5,9,0.5714285714285714,0.7142857142857143
ABABBBAABBBBBA,abscount,N,,,,6,5,9,0.5714285714285714,0.7142857142857143
ABABBBAABBBBBA,likelihood_ratio,B,-1.4702818301893568,0,13,6,5,9,0.5714285714285714,0.7142857142857143
ABABBBAABBBBBA,naive_probability,B,0.75,0,4,6,5,9,0.5714285714285714,0.7142857142857143
AABBABBABBBABB,information,B,0.67988480751028646,0.54390784600822917,9,6,5,9,0.5714285714285714,0.7142857142857143
AABBABBABBBABB,relcount,A,0.6666666666666666,0.33333333333333337,3,6,5,9,0.5714285714285714,0.7142857142857143
AABBABBABBBABB,abscount,N,,,,6,5,9,0.5714285714285714,0.7142857142857143
AABBABBABBBABB,likelihood_ratio,N,,,,6,5,9,0.5714285714285714,0.7142857142857143
AABBABBABBBABB,naive_probability,A,0.75,0,1,6,5,9,0.5714285714285714,0.7142857142857143
AABBABBABBBABA,information,B,0.67988480751028646,0.54390784600822917,9,5,6,8,0.5714285714285714,0.5714285714285714
AABBABBABBBABA,relcount,A,0.6666666666666666,0.33333333333333337,3,5,6,8,0.5714285714285714,0.5714285714285714
