trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back,correct_model,acc
AAAAAAAA,lratio1,N,,,,4,8,0,8,1.0,1.0,gating_04,0
AAAAAAAA,gating_04,A,0.5875,0.4625,4,4,8,0,8,1.0,1.0,lratio1,0
ABABABAB,lratio1,N,,,,0,4,4,4,0.5,0.5,gating_04,-1
ABABABAB,gating_04,N,0.5875,0.5875,4,0,4,4,4,0.5,0.5,lratio1,-1
BBBBBBBB,lratio1,N,,,,4,0,8,8,1.0,1.0,gating_04,0
BBBBBBBB,gating_04,B,0.5875,0.4625,4,4,0,8,8,1.0,1.0,lratio1,0
ABBBBBBB,lratio1,B,-1.38021124171,0,5,3,1,7,7,0.75,1.0,gating_04,1
ABBBBBBB,gating_04,B,0.6,0.5375,4,3,1,7,7,0.75,1.0,lratio1,1
BAAAAAAA,lratio1,A,1.38021124171,0,5,3,7,1,7,0.75,1.0,gating_04,1
BAAAAAAA,gating_04,A,0.6,0.5375,4,3,7,1,7,0.75,1.0,lratio1,1
AAAABBBB,lratio1,A,1.0280287236,0,7,4,4,4,4,1.0,1.0,gating_04,1
AAAABBBB,gating_04,A,0.5875,0.4625,4,4,4,4,4,1.0,1.0,lratio1,1
BABABABA,lratio1,N,,,,0,4,4,4,0.5,0.5,gating_04,-1
BABABABA,gating_04,N,0.5875,0.5875,4,0,4,4,4,0.5,0.5,lratio1,-1
BBBBAAAA,lratio1,B,-1.0280287236,0,7,4,4,4,4,1.0,1.0,gating_04,1
BBBBAAAA,gating_04,B,0.5875,0.4625,4,4,4,4,4,1.0,1.0,lratio1,1
