trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back,correct_model,acc
ABABBABA,information,B,0.75,0.5625,7,4,4,4,4,0.5,0.5,relcount,0
ABABBABA,information,B,0.75,0.5625,7,4,4,4,4,0.5,0.5,snr,1
ABABBABA,information,B,0.75,0.5625,7,4,4,4,4,0.5,0.5,gating_g04,0
ABABBABA,information,B,0.75,0.5625,7,4,4,4,4,0.5,0.5,blca_l10_k01_wi01_leak01_beta01,1
ABABBABA,information,B,0.75,0.5625,7,4,4,4,4,0.5,0.5,naive,1
ABABBABA,information,B,0.75,0.5625,7,4,4,4,4,0.5,0.5,lba_k01_d01,0
ABABBABA,information,B,0.75,0.5625,7,4,4,4,4,0.5,0.5,abscount,0
ABABBABA,information,B,0.75,0.5625,7,4,4,4,4,0.5,0.5,likelihood_ration,0
ABABBABA,naive,B,0.75,0,4,4,4,4,4,0.5,0.5,information,1
ABABBABA,naive,B,0.75,0,4,4,4,4,4,0.5,0.5,snr,1
ABABBABA,naive,B,0.75,0,4,4,4,4,4,0.5,0.5,relcount,0
ABABBABA,naive,B,0.75,0,4,4,4,4,4,0.5,0.5,blca_l10_k01_wi01_leak01_beta01,1
ABABBABA,naive,B,0.75,0,4,4,4,4,4,0.5,0.5,gating_g04,0
ABABBABA,naive,B,0.75,0,4,4,4,4,4,0.5,0.5,lba_k01_d01,0
ABABBABA,naive,B,0.75,0,4,4,4,4,4,0.5,0.5,abscount,0
ABABBABA,naive,B,0.75,0,4,4,4,4,4,0.5,0.5,likelihood_ration,0
ABABBABA,lba_k01_d01,A,0.7,0.1,6,4,4,4,4,0.5,0.5,information,0
ABABBABA,lba_k01_d01,A,0.7,0.1,6,4,4,4,4,0.5,0.5,relcount,1
ABABBABA,lba_k01_d01,A,0.7,0.1,6,4,4,4,4,0.5,0.5,snr,0
ABABBABA,lba_k01_d01,A,0.7,0.1,6,4,4,4,4,0.5,0.5,gating_g04,0
ABABBABA,lba_k01_d01,A,0.7,0.1,6,4,4,4,4,0.5,0.5,blca_l10_k01_wi01_leak01_beta01,0
ABABBABA,lba_k01_d01,A,0.7,0.1,6,4,4,4,4,0.5,0.5,naive,0
ABABBABA,lba_k01_d01,A,0.7,0.1,6,4,4,4,4,0.5,0.5,abscount,0
ABABBABA,lba_k01_d01,A,0.7,0.1,6,4,4,4,4,0.5,0.5,likelihood_ration,0
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,information,0
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,snr,0
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,gating_g04,-1
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,blca_l10_k01_wi01_leak01_beta01,0
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,naive,0
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,lba_k01_d01,0
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,relcount,0
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5,likelihood_ration,-1
ABABBABA,snr,B,2.0,0.0,2,4,4,4,4,0.5,0.5,information,1
ABABBABA,snr,B,2.0,0.0,2,4,4,4,4,0.5,0.5,gating_g04,0
ABABBABA,snr,B,2.0,0.0,2,4,4,4,4,0.5,0.5,relcount,0
