trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back
ABABBABA,information,N,,,,4,4,4,4,0.5,0.5
ABABBABA,naive,B,0.75,0,4,4,4,4,4,0.5,0.5
ABABBABA,lba_k01_d01,A,0.8,0.1,7,4,4,4,4,0.5,0.5
ABABBABA,abscount,N,,,,4,4,4,4,0.5,0.5
ABABBABA,snr,B,2.0,0.0,2,4,4,4,4,0.5,0.5
ABABBABA,blca_l10_k01_wi01_leak01_beta01,B,1.98,-0.98,1,4,4,4,4,0.5,0.5
ABABBABA,gating_g04,N,,,,4,4,4,4,0.5,0.5
ABABBABA,relcount,N,,,,4,4,4,4,0.5,0.5
ABABBABA,likelihood_ration,N,,,,4,4,4,4,0.5,0.5
ABABBABB,information,N,,,,3,3,5,5,0.5,0.75
ABABBABB,naive,B,0.75,0,4,3,3,5,5,0.5,0.75
ABABBABB,lba_k01_d01,A,0.8,0.1,7,3,3,5,5,0.5,0.75
ABABBABB,abscount,N,,,,3,3,5,5,0.5,0.75
ABABBABB,snr,B,2.0,0.0,2,3,3,5,5,0.5,0.75
ABABBABB,blca_l10_k01_wi01_leak01_beta01,B,1.98,-0.98,1,3,3,5,5,0.5,0.75
ABABBABB,gating_g04,N,,,,3,3,5,5,0.5,0.75
ABABBABB,relcount,N,,,,3,3,5,5,0.5,0.75
ABABBABB,likelihood_ration,N,,,,3,3,5,5,0.5,0.75
ABAABBBA,information,N,,,,4,4,4,4,0.75,0.75
ABAABBBA,naive,A,0.75,0,3,4,4,4,4,0.75,0.75
ABAABBBA,lba_k01_d01,A,0.8,0.1,7,4,4,4,4,0.75,0.75
ABAABBBA,abscount,N,,,,4,4,4,4,0.75,0.75
ABAABBBA,snr,B,2.0,0.0,2,4,4,4,4,0.75,0.75
ABAABBBA,blca_l10_k01_wi01_leak01_beta01,B,1.98,-0.98,1,4,4,4,4,0.75,0.75
ABAABBBA,gating_g04,N,,,,4,4,4,4,0.75,0.75
