trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back,correct_model,acc
ABABBABA,information,N,,,,4,4,4,4,0.5,0.5,naive_probability,0
ABABBABA,information,N,,,,4,4,4,4,0.5,0.5,snr,0
ABABBABA,information,N,,,,4,4,4,4,0.5,0.5,incremental_lba,0
ABABBABA,information,N,,,,4,4,4,4,0.5,0.5,likelihood_ratio,-1
ABABBABA,information,N,,,,4,4,4,4,0.5,0.5,urgency_gating,-1
ABABBABA,information,N,,,,4,4,4,4,0.5,0.5,blcba,0
ABABBABA,information,N,,,,4,4,4,4,0.5,0.5,relcount,-1
ABABBABA,information,N,,,,4,4,4,4,0.5,0.5,abscount,-1
ABABBABA,naive_probability,B,0.75,0,4,4,4,4,4,0.5,0.5,information,0
ABABBABA,naive_probability,B,0.75,0,4,4,4,4,4,0.5,0.5,snr,1
ABABBABA,naive_probability,B,0.75,0,4,4,4,4,4,0.5,0.5,incremental_lba,0
ABABBABA,naive_probability,B,0.75,0,4,4,4,4,4,0.5,0.5,likelihood_ratio,0
ABABBABA,naive_probability,B,0.75,0,4,4,4,4,4,0.5,0.5,urgency_gating,0
ABABBABA,naive_probability,B,0.75,0,4,4,4,4,4,0.5,0.5,blcba,1
ABABBABA,naive_probability,B,0.75,0,4,4,4,4,4,0.5,0.5,relcount,0
ABABBABA,naive_probability,B,0.75,0,4,4,4,4,4,0.5,0.5,abscount,0
ABABBABA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.5,0.5,information,0
ABABBABA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.5,0.5,naive_probability,0
ABABBABA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.5,0.5,snr,0
ABABBABA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.5,0.5,likelihood_ratio,0
ABABBABA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.5,0.5,urgency_gating,0
ABABBABA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.5,0.5,blcba,0
ABABBABA,incremental_lba,A,0.8,0.1,7,4,4,4,4,0.5,0.5,relcount,0
